Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
KJ942935.1,Influenza A virus (A/Santiago/p36d1/2013(H3N2)),GenBank,GCA_038697055.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1737,complete,Chile: La Florida,,Homo sapiens,,2013-08-30
OR148960.1,Cressdnavirus D_HF4_1794,GenBank,,"Paietta,E.N., Kraberger,S., Custer,J.M., Vargas,K.L., Epsy,C., Ehmke,E., Yoder,A.D., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-08-27,D_HF4_1794,Cressdnavirus D_HF4_1794,2279,complete,"USA: Durham, NC",NC,Homo sapiens,,2021-08-30
MN954536.1,Enterovirus D,GenBank,,"Sooksawasdi Na Ayudhya,S., Meijer,A., Oude Munnink,B.B., Embregts,C.W.E., Leijten,L., Siegers,J., Laksono,B., van Kuppeveld,F., Kuiken,T., GeurtsvanKessel,C., van Riel,D.","Erasmus Medical Centre, Virus Genomics",Netherlands,2020-10-25,4311200821_RD3,Enterovirus D,7351,complete,Netherlands,,Homo sapiens,,2012-10-08
OP549858.1,Torque teno midi virus,GenBank,,"Jimoh,A., Balle,C., Brown,B., Feng,C., Havyarimana,E., Konstantinus,I.N., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Happel,A.-U., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2022-10-26,UC008V3_C344,Torque teno midi virus,3156,complete,South Africa,,Homo sapiens,vagina,2016-07-12
MN749144.1,rhinovirus A45,GenBank,set:MN749144,"Addetia,A., Phung,Q., Greninger,A.L.","University of Washington, UW Virology",USA,2020-01-20,,Rhinovirus A,7100,complete,USA,,Homo sapiens,,2015
MT160087.1,Parainfluenza virus 5,GenBank,,"Liu,X., Cai,Q.","Shanghai Medical College, Fudan University, Moe & Moh Key Laboratory of Medical Molecular Virology, School of Basic Medicine",China,2020-11-01,,Orthorubulavirus mammalis,15246,complete,China,,Homo sapiens,,2017-09-20
KX697031.1,Influenza A virus (A/Malappuram/MCVR678/2009(H3N2)),GenBank,set:8a0ea01cca274d959aafff632e2a9c791e8343ac,"Jagadesh,A., Salam,A.A.A., Zadeh,V.R., Krishnan,A., Arunkumar,G.","Manipal University, Manipal Centre for Virus Research",India,2016-09-11,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2009-09-17
KF849759.1,Influenza A virus (A/Thailand/SirirajICRC_NMA_8/2011(H1N1)),GenBank,set:3968e6fcd6e751a966e497e7da2b5ec6c566e456,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2011-06-03
KC479005.1,Influenza B virus (B/Ontario/0040195/2012),GenBank,set:172b6e5578001621cab94f1a84f8b4f8c6048439,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.","Public Health Ontario, Molecular Diagnostics and Research",Canada,2013-02-20,,Betainfluenzavirus influenzae,1563,complete,Canada,,Homo sapiens,oronasopharynx,2012-03-15
HQ141598.1,SFTS virus HN13,GenBank,set:8f78bc426587b61ff4220ba13c5f4fa38abf09cb,"Sun,Y.L., Liang,M.F., Li,J.D., Zhang,Q.F., Li,C., Lu,J., Qu,J., Wu,W., Liu,G.H., Li,D.X.","National Institute for Viral Diseases Control and Prevention, Department of Viral Hemorrhagic Fever",China,2011-03-09,,SFTS phlebovirus,6368,complete,China,,Homo sapiens,blood,2010-07-20
KC244111.1,Influenza B virus (B/Shanghai-Pudongxin/1125/2011),GenBank,set:3ee7419372ba284868a00e48e06deaa838f3b02e,"Wang,D., Sleeman,K., Huang,W., Nguyen,H.T., Levine,M., Cheng,Y., Li,X., Tan,M., Xing,X., Xu,X., Klimov,A.I., Gubareva,L.V., Shu,Y., Lan,Y., Zhao,X., Chen,Y., Wei,H., Guo,J.","National Institute for Viral Disease Control and Prevention, China CDC, Chinese National Influenza Center",China,2013-01-07,,Betainfluenzavirus influenzae,1408,complete,China: Shanghai,,Homo sapiens,,2011-02
AB933754.1,Norovirus Hu/GII.4/Saga1/2009/JP,GenBank,set:AB933754,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Saga,,Homo sapiens,feces,2009
NC_038350.1,Torque teno midi virus 3,RefSeq,GCF_002818545.1,"Biagini,P., Uch,R., Belhouchet,M., Attoui,H., Cantaloube,J.F., Brisbarre,N., de Micco,P.","National Center for Biotechnology Information, NIH",USA,2018-08-24,2PoSMA,Gammatorquevirus homidi3,2002,complete,France,,Homo sapiens,blood,
PP756358.1,Coxsackievirus A1,GenBank,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L.","Centre National de Reference Enterovirus et Parechovirus - CHU Clermont ferrand, Virologie",France,2024-05-12,,Enterovirus C,7398,complete,"France: ARA, Clermont-Ferrand",,Homo sapiens,,2015-09-28
LC209468.1,Norovirus Hu/GII/JP/2011/GII.P16_GII.2/Yamaguchi-4,GenBank,set:LC209468,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,6222,complete,Japan: Yamaguchi,,Homo sapiens,feces,2011
PQ187621.1,Human coronavirus NL63,GenBank,,"Mah,M.G., Zeller,M.A., Zhang,R., Zhuang,Y., Venance,M.P., Crump,J.A., Rubach,M.P., Ooi,E.E., Low,J.G.H., Wang,D.Y., Smith,G.J.D., Su,Y.C.F.","Duke-NUS Medical School, Programme in Emerging Infectious Diseases",Singapore,2024-09-13,HCoV-NL63/299/Singapore/2008,Alphacoronavirus amsterdamense,27553,complete,Singapore,,Homo sapiens,,2008-09-25
KX214553.1,Influenza A virus (A/Ankara/11/2015(H1N1)),GenBank,set:d70d0409030a93cfbaa91813cfb13845580ea0ee,"Unaldi,O., Altas,B., Guldemir,D., Korukluoglu,G., Bakkaloglu,Z., Bayrakdar,F., Ari,F.F., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Microbiology Reference Laboratories Department",Turkey,2016-06-01,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-12-31
JN588801.1,Influenza A virus (A/Cambodia/U320/2010(H1N1)),GenBank,set:0cf7991377d266c5d0661caf72e69502ae6039ab,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2010-07-02
FJ445137.1,rhinovirus B104,GenBank,set:FJ445137,"Palmenberg,A.C., Spiro,D., Kuzmickas,R., Wang,S., Djikeng,A., Rathe,J.A., Fraser-Liggett,C.M., Liggett,S.B., Overton,L., Tsitrin,T., Gallagher,T., Liu,J., Pushparaj,V., Tallon,L.J.",University of Maryland School of Medicine,USA,2009-02-13,F10,Rhinovirus B,7216,complete,USA,,Homo sapiens,,
GU325839.2,Norovirus Hu/GII.4/HS194/2009/US,GenBank,set:GU325839,"Takanashi,S., Wang,Q., Chen,N., Shen,Q., Jung,K., Zhang,Z., Yokoyama,M., Lindesmith,L.C., Baric,R.S., Saif,L.J.","OARDC/The Ohio State University, Food Animal Health Research Program",USA,2010-01-16,,Norwalk virus,7560,complete,USA,,Homo sapiens,,2009
EF108306.2,Hepatitis C virus QC69,GenBank,set:EF108306,"Murphy,D.G., Sablon,E., Chamberland,J., Fournier,E., Dandavino,R., Tremblay,C.L., Murphy,D.","Laboratoire de Sante Publique du Quebec, Institut National de Sante Publique du Quebec, Biologie Moleculaire",Canada,2007-11-07,QC69,Hepacivirus hominis,9443,complete,Canada,,Homo sapiens,blood,
NC_014956.1,Human papillomavirus 134,RefSeq,GCF_000889695.1,"Kohler,A., Gottschling,M., Manning,K., Lehmann,M.D., Schulz,E., Kruger-Corcoran,D., Stockfleth,E., Nindl,I., Koehler,A., Bravo,I.G.","National Center for Biotechnology Information, NIH",USA,2011-01-24,39-65,Gammapapillomavirus 7,7309,complete,Germany,,Homo sapiens,lesion_tumor,
KP969031.1,Influenza A virus (A/Shanghai/ION/2013(H7N9)),GenBank,GCA_038685595.1,"Hu,Y., Ren,X., Yang,F., Jin,Q.","Institute of Pathogen Biology, CAMS and PUMC",China,2015-04-25,,Alphainfluenzavirus influenzae,1710,complete,China,,Homo sapiens,,2013-04-04
PV002720.1,Coxsackievirus A4,GenBank,,"Zhang,P., Su,Q.","School of Medicine, Yangzhou University",China,2025-05-29,CAV4/YZ08/Yangzhou/2019,Enterovirus A,7427,complete,China,,Homo sapiens,,2018
LC209433.1,Norovirus Hu/GII/JP/2012/GII.P16_GII.2/Tochigi-26,GenBank,set:LC209433,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7539,complete,Japan: Tochigi,,Homo sapiens,feces,2012
KJ942929.1,Influenza A virus (A/Santiago/op17d5/2012(H3N2)),GenBank,set:4429a4fc92d7d9099d9dcd098fb0075330a003ee,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,999,complete,Chile: Santiago,,Homo sapiens,,2012-06-04
JQ964684.1,Influenza A virus (A/Ontario/0728447/2010(H3N2)),GenBank,set:d31b3d554bf6e8d195e71e86ee6e8b1e011a9546,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.","Public Health Ontario, Molecular Diagnostics and Research",Canada,2012-05-16,,Alphainfluenzavirus influenzae,1469,complete,Canada,,Homo sapiens,oronasopharynx,2010-11-19
KC292298.1,SFTS virus HNXY_202,GenBank,set:fcb15f7d6e50efa6f456798421ff0e8b611c691c,"Liu,W., Lu,Q.B., Cui,N., Li,H., Wang,L.Y., Liu,K., Yang,Z.D., Wang,B.J., Wang,H.Y., Zhang,Y.Y., Zhuang,L., Hu,C.Y., Yuan,C., Fan,X.J., Wang,Z., Zhang,L., Zhang,X.A., Walker,D.H., Cao,W.C., Lu,Q.","State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology",China,2013-04-15,,SFTS phlebovirus,1744,complete,"China: Henan, Xinyang",,Homo sapiens,,
MZ629135.1,rhinovirus B14,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2021-08-08,,Rhinovirus B,7157,complete,USA,,Homo sapiens,,2021-06-07
PV173112.1,Coxsackievirus A16,GenBank,,"Sittikul,P., Taoma,K., Chuaysri,J., Sriburin,P., Nuprasert,W., Rattanamahaphoom,J., Kosoltanapiwat,N., Leaungwutiwong,P., Thaipadungpanit,J., Chatchen,S.","Mahidol University, Department of Tropical Pediatrics, Faculty of Tropical Medicine",Thailand,2025-03-17,AI008F2,Enterovirus A,7299,complete,Thailand,,Homo sapiens,feces,2023-09-26
MT501648.1,TT virus cyb/2019,GenBank,,"Zhang,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2020-07-07,cyb/2019,Torque teno virus,3759,complete,China,,Homo sapiens,,2019-06
MW596896.1,Hepeviridae,GenBank,,"Cancela,F., Panzera,Y., Perez,R., Arbiza,J., Mainardi,V., Mirazo,S.","Facultad de Ciencias, Universidad de la Republica, Seccion Virologia",Uruguay,2021-04-09,C1UY18,Hepatitis E virus,7229,complete,Uruguay,,Homo sapiens,feces,2018
KF849752.1,Influenza A virus (A/Thailand/SirirajICRC_NMA_1/2011(H1N1)),GenBank,set:5984119f3c7163c8175faf6d48e2481ad43c926a,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2011-06-03
PP125278.1,Rhinovirus B,GenBank,,"Goya,S., Sereewit,J., Greninger,A.L.","University of Washington, Department Laboratory Medicine and Pathology",USA,2024-01-24,RV-B6/USA/JJ34R9/2021,Rhinovirus B,7183,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2021-05-13
KJ943410.1,Influenza A virus (A/Santiago/p2d3/2011),GenBank,set:3c42728930d06967a5b333052429bdf588e07d1d,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,999,complete,Chile: Puente Alto,,Homo sapiens,,2011-08-03
KJ942656.1,Influenza A virus (A/reassortant/X-121(Puerto Rico/8/1934 x Shangdong/9/1993)(H3N2)),GenBank,set:97ecb5d875e45fa712807990b645e10c2b59577e,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kumar,M., Bucher,D.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1754,complete,,,Homo sapiens,,
LN854564.1,Norovirus GI/Hu/NL/2012/GI.6/Groningen,GenBank,set:LN854564,"Bavelaar,H., Rahamat-Langendoen,J., Niesters,H.G.M., Zoll,J., Melchers,W.J.G.","Medical Microbiology, RADBOUDUMC, PO Box 9101, 6500 HB Nijmegen",Netherlands,2015-06-12,,Norwalk virus,7691,complete,,,Homo sapiens,,
AB933719.1,Norovirus Hu/GII.4/Hiroshima1/2011/JP,GenBank,set:AB933719,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Hiroshima,,Homo sapiens,feces,2011
KF429773.1,Norovirus Hu/GI.1/8CKIIIc/1974/USA,GenBank,set:KF429773,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kim,M., Bok,K., Sosnovtsev,S.V., Wentworth,D.E., Green,K.Y.",J. Craig Venter Institute,USA,2013-08-14,,Norwalk virus,7626,complete,USA: Maryland,MD,Homo sapiens,,1974-02-13
PV353978.1,Human metapneumovirus B,GenBank,,"Bacsik,D., Cuicapuza,D., Ayzanoa,B., Martinez-Ventura,A., Meza,E., Caceres,T., Zamudio,C., Gotuzzo,E., Tsukayama,P.","Universidad Peruana Cayetano Heredia, Laboratorio de Genomica Microbiana",Peru,2025-04-05,hMPV/B/Peru/LIM-UPCH-4736/2022,Metapneumovirus hominis,13295,complete,Peru,,Homo sapiens,,2022-08-12
LC778004.1,hepatitis B virus genotype A,GenBank,,"Sedohara,A., Takahashi,K., Arai,K., Arizono,K., Tuvshinjargal,K., Saito,M., Nakahara,F., Tsutsumi,T., Ikeuchi,K., Adachi,E., Yotsuyanagi,H.","Division of Infectious Diseases Advanced Clinical Research Center The Institute of Mdeical Science; 4-6-1, Shirokanedai, Minato-ku, Tokyo 108-8639",Japan,2024-04-19,HB-DB76,Hepatitis B virus,3221,complete,Japan,,Homo sapiens,blood,2022-12-31
JF965349.1,Influenza B virus (B/Kol/2546/2009),GenBank,set:07ae6fe648fc93407f79761fe9964b80c3c210b3,"Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (NICED), Virology",India,2011-10-10,,Betainfluenzavirus influenzae,1755,complete,India,,Homo sapiens,,2009-11-17
KR816181.1,Human papillomavirus type 194,GenBank,set:KR816181,"Chen,Z., Burk,R.","Albert Einstein College of Medicine, Department of Pediatrics",USA,2018-05-16,ACS290,Human papillomavirus type 194,7260,complete,,,Homo sapiens,,
NC_038357.1,Torque teno midi virus 10,RefSeq,GCF_002818685.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN14,Gammatorquevirus homidi10,3175,complete,Japan,,Homo sapiens,blood,
LC209435.1,Norovirus Hu/GII/JP/2004/GII.P12_GII.2/Tochigi-92,GenBank,set:LC209435,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7530,complete,Japan: Tochigi,,Homo sapiens,feces,2004
PP882705.1,Louping ill virus,GenBank,,"Lubova,V.A., SHutikova,A.L., Belik,A.A., Belov,Y.A., Krylova,N.V., SHCHelkanov,M.Y.","Somov Institute of Epidemiology and Microbiology, Laboratory of Natural Focal Viral Infections",Russia,2024-06-23,,Orthoflavivirus loupingi,10866,complete,Russia,,Homo sapiens,blood,1991
NC_007018.1,Human parvovirus 4 G1,RefSeq,GCF_000861005.1,"Jones,M.S., Kapoor,A., Lukashov,V.V., Simmonds,P., Hecht,F., Delwart,E., Jones,M.S. Jr.","National Center for Biotechnology Information, NIH",USA,2005-05-24,,Tetraparvovirus primate1,5268,complete,USA,,Homo sapiens,,
KC175378.1,Norovirus Hu/Norwalk/10247/2009/VNM,GenBank,set:KC175378,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-12-10
NC_075341.1,Human feces smacovirus 3,RefSeq,GCF_003963575.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,SmaCV3_ETH_P15_2016,Porprismacovirus humas3,2511,complete,Ethiopia,,Homo sapiens,feces,2016-04
PV656459.1,Astrovirus MLB1,GenBank,,"Shayo,M.J., Aarestrup,F., Clauusen,P.T., Sonda,T.","KCMC University, Biomedical Sciences",Tanzania,2025-06-04,TNG04545,Mamastrovirus melbournense,6171,complete,Tanzania,,Homo sapiens,feces,2023-11-08
NC_030448.1,Gemycircularvirus HV-GcV2,RefSeq,GCF_001679875.1,"Halary,S., Duraisamy,R., Fancello,L., Monteil-Bouchard,S., Jardot,P., Biagini,P., Gouriet,F., Raoult,D., Desnues,C.","National Center for Biotechnology Information, NIH",USA,2016-07-04,HV-GcV2,Gemykibivirus humas5,2262,complete,France,,Homo sapiens,heart,
JQ624638.1,Influenza A virus (A/Sydney/CB1/2011(H1N1)),GenBank,set:a2105d1a6e508ec17eac43183c3f9c0176b40443,"Wang,B., Dwyer,D.E., Saksena,N.K.","University of Sydney, Westmead Millennium Institute",Australia,2012-03-12,,Alphainfluenzavirus influenzae,1721,complete,Australia,,Homo sapiens,,2011-07-19
NC_022095.1,Human papillomavirus 179,RefSeq,GCF_000912535.1,"Kocjan,B.J., Hosnjak,L., Poljak,M.","National Center for Biotechnology Information, NIH",USA,2013-08-17,SIBX16,Gammapapillomavirus 15,7228,complete,Slovenia,,Homo sapiens,,
AB933653.1,Norovirus Hu/GII.4/Aichi1/2009/JP,GenBank,set:AB933653,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Aichi,,Homo sapiens,feces,2009
JF421280.1,Hantavirus XAHu09011,GenBank,set:a3a12472f6544e7eb62a62400f6fcdb7e7b846c7,"Ma,C., Yu,P., Nawaz,M., Zuo,S., Jin,T., Li,Y., Li,J., Li,H., Xu,J., Wu,R., Zheng,H., Mi,B.","Xi'an Center for Disease Control and Prevention, Viral Disease Laboratory",China,2011-08-21,,Hantavirus XAHu09011,1696,complete,China,,Homo sapiens,,2008-11-20
JQ613568.1,Norovirus Hu/GII.g-GII.12/Wahroonga/NSW004P/2009/AU,GenBank,set:JQ613568,"Eden,J.S., Hewitt,J., Lim,K.L., Boni,M.F., Merif,J., Greening,G., Ratcliff,R.M., Holmes,E.C., Tanaka,M.M., Rawlinson,W.D., White,P.A., Eden,J.-S.","University of New South Wales, School of Biotechnology and Biomolecular Sciences",Australia,2012-05-13,,Norwalk virus,7523,complete,Australia,,Homo sapiens,,2009-05
NC_030791.1,Hepatitis C virus genotype 7,RefSeq,GCF_001712785.1,"Murphy,D.G., Sablon,E., Chamberland,J., Fournier,E., Dandavino,R., Tremblay,C.L., Murphy,D.","National Center for Biotechnology Information, NIH",USA,2016-08-19,QC69,Hepacivirus hominis,9443,complete,Canada,,Homo sapiens,blood,
KX274477.1,Sapovirus GII.4,GenBank,set:KX274477,"Hernandez,J.M., Reymao,T.A., Silva,L.D., Bandeira,R.S., Souza,E.C. Jr., Cardoso,J.F., Vianez,J.L. Jr., Nunes,M.T., Gabbay,Y.B.",IEC,,2017-11-01,116006,Sapporo virus,7450,complete,"Brazil: Amazonas, Manaus",,Homo sapiens,feces,2011-09-02
KC175351.1,Norovirus Hu/Norwalk/10114/2009/VNM,GenBank,set:KC175351,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-07-08
KF429778.1,Norovirus Hu/GII.4/NIHIC18.1/2012/USA,GenBank,set:KF429778,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kim,M., Bok,K., Sosnovtsev,S.V., Wentworth,D.E., Green,K.Y.",J. Craig Venter Institute,USA,2013-08-14,,Norwalk virus,7509,complete,USA: Maryland,MD,Homo sapiens,,2012-02-18
PV296305.1,Lyssavirus rabies,GenBank,,"Varun,C.N., Chandel,S., Siddalingaiah,N., Ashwini,M.A., Mani,R.S.","NIMHANS, Neurovirology",India,2025-04-01,NNV-RAB-H55,Lyssavirus rabies,11782,complete,India,,Homo sapiens,brain,2024
PV563865.1,Yellow fever virus,GenBank,,"Sacchi,C.T., Campos,K.R., Cunha,M.S.","Instituto Adolfo Lutz, Strategic Laboratory",Brazil,2025-04-29,,Orthoflavivirus flavi,10858,complete,"Brazil: Sao Paulo, Cacapava",,Homo sapiens,blood,2025-02-12
MF588721.1,Gammapapillomavirus 13,GenBank,set:MF588721,"Pastrana,D.V., Peretti,A., Welch,N.L., Borgogna,C., Olivero,C., Badolato,R., Notarangelo,L.D., Gariglio,M., FitzGerald,P.C., McIntosh,C.E., Reeves,J., Starrett,G.J., Bliskovsky,V., Velez,D., Brownell,I., Yarchoan,R., Wyvill,K.M., Uldrick,T.S., Maldarelli,F., Lisco,A., Sereti,I., Gonzalez,C.M., Androphy,E.J., McBride,A.A., Van Doorslaer,K., Garcia,F., Dvoretzky,I., Liu,J.S., Han,J., Murphy,P.M., McDermott,D.H., Buck,C.B., McBride,A., Cho,E., Holland,S.M., Freeman,A.F.","National Cancer Institute, Laboratory of Cellular Oncology",USA,2017-11-08,Gamma13_EV03c45,Gammapapillomavirus 13,7240,complete,Italy,,Homo sapiens,skin,2014-05
